Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Nagpa_+_5203978.23-P1P2	Nagpa	1653	1585	1301	1672	3201
Eef2_+_81176662.23-P1	Eef2_P1	1681	2030	1561	1989	3530
Oxtr_+_112490832.23-P1P2	Oxtr	1057	1136	1087	1084	1978
Ppp2ca_-_52098864.23-P1P2	Ppp2ca	1615	1515	1520	1762	3336
Pycr1_+_120643718.23-P1P2	Pycr1	1795	1756	2050	2050	3308
Blvrb_+_27448097.23-P1P2	Blvrb	1240	1317	1593	1670	2240
Cartpt_+_99900596.23-P1P2	Cartpt	1824	2372	1550	1987	3385
Cyb5b_-_107150693.23-P1P2	Cyb5b	78	161	1	82	97
Gk5_+_96119669.23-P1P2	Gk5	1527	1738	1323	1752	2392
Ptger2_+_44988673.23-P1P2	Ptger2	677	778	674	726	1107
Comp_+_70373584.23-P1P2	Comp	1098	1397	1129	1238	2084
non-targeting_00189	non-targeting	1529	1490	1243	1416	2667
Slco2b1_+_99706831.23-P1	Slco2b1_P1	712	1194	761	671	1342
Map3k6_+_133250910.23-P2	Map3k6_P2	713	564	692	668	1217
Ret_-_118197369.23-P1P2	Ret	1828	2788	1889	2089	2863
Ak1_+_32625555.23-P1	Ak1_P1	1640	1569	1241	1646	2641
Rtca_-_116507868.23-P1P2	Rtca	2589	3244	2707	2680	4825
Nsdhl_+_72918689.23-P1P2	Nsdhl	36	0	1	21	87
non-targeting_00040	non-targeting	1618	1968	1629	1706	2910
Gabrg1_+_70842237.23-P1P2	Gabrg1	2322	2232	2206	2827	4250
Gsk3a_+_25237754.23-P1P2	Gsk3a	801	704	923	736	1073
Rnase4_-_51091172.23-P2	Rnase4_P2	1215	1292	1222	1359	2542
non-targeting_00088	non-targeting	2510	3360	2733	3184	4893
Tnnc1_-_31208410.23-P1P2	Tnnc1	1055	721	917	1010	1570
Cdk15_+_59257022.23-ENSMUST00000160662.1,ENSMUST00000114248.2	Cdk15	18	0	0	17	4
Mst1r_-_107906900.23-P1P2	Mst1r	1225	1180	1015	1161	1852
C8g_-_25500254.23-P1P2	C8g	2260	2091	2109	2323	4106
Idh3a_-_54595315.23-P2	Idh3a_P2	3125	2597	3250	3632	6048
Cs_+_128337814.23-P1P2	Cs	1000	1096	747	1072	1776
Rpl23_+_97782337.23-P1P2	Rpl23	1143	1325	1199	1230	2204
Gpd1_-_99717667.23-P1P2	Gpd1	1105	1465	1471	1402	2673
Slc6a4_-_76998620.23-P2	Slc6a4_P2	2497	2746	2268	2454	3777
Mapk8_+_33447119.23-P1P2	Mapk8	2156	1602	1255	1878	3094
Gpx2_-_76795436.23-P1P2	Gpx2	1862	2177	2076	2161	3928
Adh1_-_138277676.23-P1P2	Adh1	1505	1641	1495	1661	2926
Cd4_-_124887831.23-P1P2	Cd4	2979	4331	2478	3091	4348
Fyn_-_39370021.23-P1P2	Fyn	1470	1777	1537	1482	2129
Pde8b_+_95223027.23-P2	Pde8b_P2	1102	1299	1662	1268	2022
Tff2_-_31144241.23-P1P2	Tff2	1939	1612	1389	1596	2336
Pde4b_-_102254962.23-ENSMUST00000106908.2	Pde4b	955	1201	920	1324	1744
Riok1_+_38037318.23-P1P2	Riok1	3198	2884	2916	2950	5044
Bdh1_-_31428878.23-P1	Bdh1_P1	1876	1912	1617	1837	2871
Stmn4_-_66344370.23-P1P2	Stmn4	2631	2814	2384	2257	4677
Hmgcl_-_135946509.23-P1P2	Hmgcl	1890	1721	1600	1719	3102
Leprel1_-_26105562.23-P1P2	Leprel1	1554	1422	1576	2024	3031
Akap7_-_25299092.23-ENSMUST00000041984.7	Akap7	2082	2242	1953	2364	4073
Cyb5_+_84851666.23-P1P2	Cyb5	1086	1251	1441	1252	1772
Inpp5b_-_124741934.23-P2	Inpp5b_P2	3384	3293	2819	3218	5684
non-targeting_00212	non-targeting	2400	1945	2614	2551	3683
Slc12a6_-_112265620.23-P1P2	Slc12a6	1499	2086	1540	1646	2644
Eprs_+_185363102.23-P1P2	Eprs	1883	2164	1947	1931	3763
Pkn1_-_83699028.23-P1	Pkn1_P1	1275	1481	1247	1530	1976
Slc16a5_+_115463845.23-P2	Slc16a5_P2	1927	1943	1689	1906	3533
Pdk1_-_71873315.23-P1P2	Pdk1	611	556	735	547	962
Yars2_-_16302989.23-P1P2	Yars2	2548	2459	2290	2688	4424
Smpd4_-_17619441.23-P1P2	Smpd4	2454	2661	2241	2299	4323
BC021891_+_125910496.23-P1P2	BC021891	147	141	236	254	426
Chrm5_-_112480773.23-ENSMUST00000099589.2	Chrm5	2237	2367	1893	2000	3514
Tpmt_+_47043141.23-P1P2	Tpmt	1171	1591	976	1155	2105
Cacnb2_-_14873919.23-ENSMUST00000114719.1	Cacnb2	390	157	129	344	407
Scn4a_-_106349421.23-P1P2	Scn4a	1352	1298	1604	1675	1748
non-targeting_00038	non-targeting	1203	844	1063	1094	1990
Serpinb3d_-_107083137.23-ENSMUST00000023861.3	Serpinb3d	61	0	132	55	90
Tab1_-_80133161.23-P1P2	Tab1	1383	2132	1172	1335	2108
Mylk2_+_152911370.23-P1P2	Mylk2	2437	3108	2611	3189	4823
Gpx6_+_21312236.23-P1P2	Gpx6	733	967	740	796	1491
Inpp5j_+_3504730.23-P1P2	Inpp5j	2414	2480	1701	2156	4638
Snx3_-_42502310.23-P1P2	Snx3	1297	1361	1286	1591	2450
Ppp1r16b_-_158667187.23-P1P2	Ppp1r16b	1102	848	835	1035	1694
Kcnj3_-_55437381.23-P1	Kcnj3_P1	3244	2471	3462	2885	5537
Slc6a7_+_61014180.23-P1P2	Slc6a7	1677	1263	1667	1757	2398
Glul_+_153899998.23-P1P2	Glul	2159	2191	1693	2142	3431
Tpte_-_22283219.23-P1P2	Tpte	792	633	681	892	1386
Alpk1_+_127780408.23-P1P2	Alpk1	774	1155	1028	1141	1693
Itpka_+_119742365.23-P1P2	Itpka	1657	1878	1750	1967	3189
Chrnb2_-_89764556.23-P1P2	Chrnb2	1820	1985	1899	1764	3149
F2r_+_95618268.23-P1P2	F2r	2112	2728	2472	2403	4030
Atp5c1_+_10080390.23-P1P2	Atp5c1	696	650	512	684	1065
Ptgr2_-_84285435.23-P1P2	Ptgr2	1114	1408	1359	1350	2247
Serpinc1_-_160978835.23-P1P2	Serpinc1	2152	2827	2218	2530	4447
Ndufs2_+_171247081.23-P1	Ndufs2_P1	2515	2017	1928	2338	4112
Dgkh_+_78725257.23-ENSMUST00000074729.5	Dgkh	3089	3124	2614	2837	5098
Akap8l_+_32350532.23-P1P2	Akap8l	2061	2063	1928	1795	3420
Gabrb3_+_57590796.23-P1P2	Gabrb3	2609	2453	2412	2660	4824
Ppp3ca_-_136670227.23-P1P2	Ppp3ca	1378	1280	1052	1198	2196
Slc6a2_+_92961098.23-P1P2	Slc6a2	308	334	206	179	405
Brd4_-_32284666.23-P1P2	Brd4	1077	728	1056	1102	2144
Hk2_+_82774221.23-P1P2	Hk2	2472	2852	2241	3034	4779
Lhcgr_-_88792001.23-P1P2	Lhcgr	2430	3065	2400	2568	4063
Stmn4_-_66344396.23-P1P2	Stmn4	1110	835	1028	1082	1994
Adk_-_21052680.23-P2	Adk_P2	134	386	275	192	384
Ephb3_-_21204814.23-P1P2	Ephb3	2397	2511	2368	2615	4717
Ptger2_+_44988649.23-P1P2	Ptger2	1604	1748	1862	1476	2930
Ptpn11_+_121191313.23-P1P2	Ptpn11	1121	1027	1055	973	1811
Kcnj12_-_61022309.23-P1P2	Kcnj12	2111	2340	2178	2367	4479
Idh3a_-_54595183.23-P2	Idh3a_P2	2179	2495	2504	2440	4070
Fads1_-_10183264.23-P1P2	Fads1	3135	2575	3182	3148	4835
Arpc4_-_113378208.23-P1P2	Arpc4	820	488	660	726	1062
Uqcrq_+_53430764.23-P1P2	Uqcrq	4001	3417	3508	3964	7060
Alpk3_-_81057634.23-P1P2	Alpk3	1382	1516	1071	1505	2369
Tpi1_+_124812937.23-P2	Tpi1_P2	2269	2415	2211	2386	3957
Ece1_+_137862329.23-P1P2	Ece1	936	870	1118	1311	2126
Ntrk3_-_78578315.23-P1P2	Ntrk3	5226	6226	5246	5798	9258
Rpl37_-_5116684.23-P1P2	Rpl37	2400	2655	2491	2207	4379
Adra2b_+_127363236.23-P1P2	Adra2b	1022	909	913	1215	2054
Prss1_-_41459047.23-P1P2	Prss1	1442	1285	1104	1192	2321
Rps6ka5_+_100725035.23-P1P2	Rps6ka5	1749	1229	1782	1986	2420
Ak5_-_152667691.23-P1P2	Ak5	1026	1135	869	1080	1833
Arpc2_+_74236759.23-P1P2	Arpc2	1780	1597	2020	1825	2745
