gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
F11	1.00494090266206e0	7.110663649733105e-3	1.4083721961230986e-1	2.8195821338708077e-1	1e0	2.1444823350197878e-1	3.523636065446416e-1	1e0	2.8195821338708077e-1	1e0	3.909551312093619e-3
PTDSS1	1.0065436368568355e0	9.409719017617682e-3	7.839029199103583e-1	7.887320296416502e-1	1e0	3.051184610869603e-1	4.433170335907053e-1	1e0	4.433170335907053e-1	1e0	3.3243180545452222e-3
SELP	9.795539351091073e-1	-2.980316413803965e-2	3.3199275072401946e-1	4.795836012792349e-1	1e0	8.022812218491331e-1	8.012826876016935e-1	1e0	4.795836012792349e-1	1e0	-9.511252917416125e-3
PRDX2	1.0069912299177965e0	1.005111868809413e-2	3.911797259563899e-1	5.373649660553903e-1	1e0	1.6558238463740887e-1	3.039132330028787e-1	1e0	3.039132330028787e-1	1e0	5.198945055720396e-3
FFAR1	9.795316426827101e-1	-2.983599697942091e-2	2.271091925630111e-1	3.795106624485868e-1	1e0	6.818736723291463e-1	7.050983811032322e-1	1e0	3.795106624485868e-1	1e0	-1.2554272001558493e-2
DHRS4	1.0009125686903197e0	1.3159579642606767e-3	1.0500176514716739e-1	2.2161319977039373e-1	9.999147782931771e-1	8.235090404919915e-2	1.8086672047164234e-1	1e0	1.8086672047164234e-1	9.999147782931771e-1	9.772847808278238e-4
TTK	9.803040239924713e-1	-2.86988498584591e-2	1.1530399091066663e-1	2.4023202316778952e-1	9.999147782931771e-1	7.921848496871615e-1	7.91722953288937e-1	1e0	2.4023202316778952e-1	9.999147782931771e-1	-1.7775180841950514e-2
MOCOS	9.808308069334308e-1	-2.792380151110338e-2	4.0396954573384297e-1	5.496394059585414e-1	1e0	1e0	1e0	1e0	5.496394059585414e-1	1e0	-7.258014202029367e-3
PCSK2	9.869199862934501e-1	-1.8994970749690598e-2	1.2279848455161442e-1	2.516691770859858e-1	9.999147782931771e-1	4.200213903339271e-1	5.624188069969487e-1	1e0	2.516691770859858e-1	9.999147782931771e-1	-1.1381216072252955e-2
MAP4K5	1.0083810105138769e0	1.2040855225578219e-2	3.262148111897585e-1	4.740376606056944e-1	1e0	7.784073672033191e-2	1.7276144686470926e-1	1e0	1.7276144686470926e-1	1e0	9.181792290761078e-3
TSPO	9.962643836344055e-1	-5.39944662668439e-3	2.3588009386291278e-1	3.8785331094816167e-1	1e0	2.647055663913777e-1	4.0287698369881875e-1	1e0	3.8785331094816167e-1	1e0	-2.220967862325684e-3
SCYL2	9.619625798914512e-1	-5.594732028397503e-2	2.244154239400739e-1	4.06131177681581e-1	1e0	6.473647871350419e-2	1.6357288056590175e-1	1e0	1.6357288056590175e-1	1e0	-4.399074563389891e-2
LTA	9.906475828877943e-1	-1.3556176572433354e-2	6.862232831634594e-1	7.205277491249499e-1	1e0	1e0	1e0	1e0	7.205277491249499e-1	1e0	-1.9297120950477035e-3
RORA	9.818669473508149e-1	-2.6400556500576697e-2	1.5493830553923907e-1	3.045821986094147e-1	1e0	1e0	1e0	1e0	3.045821986094147e-1	1e0	-1.3630488062515817e-2
PPP1R11	1.0001935926392218e0	2.792681093048605e-4	1.1383053944844908e-1	2.371677290991407e-1	9.999147782931771e-1	2.53727155884848e-1	3.91396670709233e-1	1e0	2.371677290991407e-1	9.999147782931771e-1	1.745270423492306e-4
PHOSPHO1	1.0447910812555687e0	6.321448664162077e-2	7.338945589140886e-1	7.511620579971602e-1	1e0	2.0377369837076397e-3	6.58607429402549e-3	3.593007748659233e-1	6.58607429402549e-3	3.593007748659233e-1	1.3789439804586642e-1
MAP2K7	9.792470367774065e-1	-3.0255237330956444e-2	1.268708791680169e-1	2.5926517365052376e-1	9.999147782931771e-1	7.879672568066342e-1	7.879163231923902e-1	1e0	2.5926517365052376e-1	9.999147782931771e-1	-1.7737308875415567e-2
HS3ST3A1	1.0172927420608224e0	2.473489723516829e-2	1e0	1e0	1e0	6.208043562529434e-1	6.663760622526446e-1	1e0	6.663760622526446e-1	1e0	4.360282826551731e-3
SLC23A1	1.0134468938192343e0	1.927049133959712e-2	7.090933432869758e-1	7.351370947902685e-1	1e0	8.909625393830826e-2	1.926707264966487e-1	1e0	1.926707264966487e-1	1e0	1.3781952185610498e-2
KCNJ3	9.93727575463511e-1	-9.07769520814962e-3	6.686904523637232e-1	7.104501059555203e-1	1e0	1e0	1e0	1e0	7.104501059555203e-1	1e0	-1.3477328788802372e-3
TAOK3	9.835994770989875e-1	-2.3857126918493184e-2	1.9975276045643575e-1	4.265713138916103e-1	1e0	9.359734188346178e-1	9.422143193167056e-1	1e0	4.265713138916103e-1	1e0	-8.827336247521694e-3
ADRA2C	1.1852599770902592e0	2.452035372010373e-1	1e0	1e0	1e0	2.4445291261664095e-1	4.3167271612983976e-1	1e0	4.3167271612983976e-1	1e0	8.946138262504692e-2
CASK	1.0031065577764533e0	4.474868372975388e-3	1.140813165320294e-1	2.3748710622742242e-1	9.999147782931771e-1	2.509661667822903e-1	3.891049240184548e-1	1e0	2.3748710622742242e-1	9.999147782931771e-1	2.793928657773887e-3
DDC	9.959589727345926e-1	-5.841781360525001e-3	3.703685882967317e-1	5.16998200266723e-1	1e0	2.1397966248378145e-1	3.514011592526575e-1	1e0	3.514011592526575e-1	1e0	-2.653318459399859e-3
SCN1A	9.665945579590101e-1	-4.9017222641536205e-2	5.5686715226917115e-2	1.360503407408686e-1	9.766934590821391e-1	1e0	1e0	1e0	1.360503407408686e-1	9.766934590821391e-1	-4.246363792365727e-2
MED1	8.322657819163259e-1	-2.648837720252267e-1	1.2023309430569355e-6	8.631814277883998e-6	2.857130525979603e-3	1e0	1e0	1e0	8.631814277883998e-6	2.857130525979603e-3	-1.3413443802149148e0
GABRA2	9.612612033747996e-1	-5.6999587291103555e-2	1e0	1e0	1e0	1e0	1e0	1e0	1e0	1e0	0e0
ILKAP	9.88962287391953e-1	-1.6012587886773365e-2	1.1559193205443082e-1	2.405082412246818e-1	9.999147782931771e-1	3.2648966848756317e-1	4.651986827851412e-1	1e0	2.405082412246818e-1	9.999147782931771e-1	-9.90971086685492e-3
AKAP7	9.659297166776778e-1	-5.0009875898196776e-2	2.9411496268760495e-1	4.426739634270029e-1	1e0	1e0	1e0	1e0	4.426739634270029e-1	1e0	-1.769929628811613e-2
PTK2B	9.652289925456176e-1	-5.105684450817495e-2	2.5404167568180914e-2	7.526942050314846e-2	9.766934590821391e-1	1e0	1e0	1e0	7.526942050314846e-2	9.766934590821391e-1	-5.7356310870921676e-2
G6PC2	1.0262232237648101e0	3.734457966867396e-2	6.304246210811655e-1	6.899020720670174e-1	1e0	3.7137407772582974e-2	9.750928999011657e-2	1e0	9.750928999011657e-2	1e0	3.7753652412743366e-2
CLPX	1.001592737256083e0	2.296006158507613e-3	5.7482542478569e-1	7.097595608132895e-1	1e0	3.028869724117682e-1	4.675767476186982e-1	1e0	4.675767476186982e-1	1e0	7.580197615939555e-4
PIP4K2A	8.831617406374226e-1	-1.7925042026700477e-1	8.310047899782097e-7	8.631814277883998e-6	2.857130525979603e-3	1e0	1e0	1e0	8.631814277883998e-6	2.857130525979603e-3	-9.077058290056745e-1
